영화 코드,영화명(국문),영화명(영문),제작연도,개봉일,영화유형,제작상태,제작국가,영화장르,대표 제작국가,대표 장르,영화감독,제작사 코드,제작사명
20184482,국제수사,The Golden Holiday,2020,20200929,장편,개봉,한국,"코미디,액션",한국,코미디,[{'peopleNm': '김봉한'}],정보 없음,정보 없음
20202143,여자친구의 맛 3,,2020,20201116,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '최진철'}],정보 없음,정보 없음
20208961,마리 퀴리,RADIOACTIVE,2019,20201118,장편,개봉,프랑스,드라마,프랑스,드라마,[{'peopleNm': '마르잔 사트라피'}],정보 없음,정보 없음
20192764,이별의 목적,The Art of Loving,2018,20200910,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '이건우'}],정보 없음,정보 없음
20201990,하마사키마오의 은밀한 수영강습,,2019,20201116,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,[{'peopleNm': '야만카 소쿠스'}],정보 없음,정보 없음
20201986,아주버님의 끝내주는 물건 무삭제판,,2019,20201116,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,[{'peopleNm': '버드맨 텟페이'}],정보 없음,정보 없음
20201987,F컵 거유의 육덕녀 무삭제판,,2019,20201116,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,[{'peopleNm': '버드맨 텟페이'}],정보 없음,정보 없음
20206588,극장판 미니특공대: 햄버거괴물의 습격,,2020,20200930,장편,개봉,한국,"애니메이션,액션",한국,애니메이션,[{'peopleNm': '이영준'}],정보 없음,정보 없음
20201110,D컵여자친구,,2020,20201113,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '이정석'}],정보 없음,정보 없음
20199815,밥정,The Wandering Chef,2019,20201007,장편,개봉,한국,"다큐멘터리,드라마",한국,다큐멘터리,[{'peopleNm': '박혜령'}],정보 없음,정보 없음
20200249,무협강호,Assassination the Queen,2020,20201113,장편,개봉,중국,액션,중국,액션,[],정보 없음,정보 없음
20209133,용주골 2,,2020,20201112,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '김종석'}],정보 없음,정보 없음
20206740,여대생의 은밀한 불륜,,2020,20201112,장편,개봉,한국,"성인물(에로),멜로/로맨스",한국,성인물(에로),[{'peopleNm': '윤경식'}],정보 없음,정보 없음
20208448,극장판 바다 탐험대 옥토넛 : 대산호초 보호작전,OCTONAUTS & the Great Barrier Reef,2020,20201112,장편,개봉,영국,"애니메이션,뮤지컬,어드벤처",영국,애니메이션,[],정보 없음,정보 없음
20208765,글로리아를 위하여,Gloria Mundi,2019,20201029,장편,개봉,"프랑스,이탈리아",드라마,프랑스,드라마,[{'peopleNm': '로베르 게디기앙'}],정보 없음,정보 없음
20200779,코마,Koma,2019,20201112,장편,개봉,러시아,SF,러시아,SF,[],정보 없음,정보 없음
20209022,메피스토,,2019,20200910,장편,개봉,한국,"드라마,스릴러",한국,드라마,[{'peopleNm': '김동후'}],정보 없음,정보 없음
