영화 코드,영화명(국문),영화명(영문),제작연도,개봉일,영화유형,제작상태,제작국가,영화장르,대표 제작국가,대표 장르,영화감독,제작사 코드,제작사명
20212863,쾌락 : 나를 적신 그놈 무삭제판,,2021,20220117,장편,개봉,일본,"성인물(에로),멜로/로맨스",일본,성인물(에로),[{'peopleNm': '나기라 겐조'}],정보 없음,정보 없음
20212881,이터널 친구엄마 무삭제판,,2021,20220117,장편,개봉,일본,"성인물(에로),멜로/로맨스",일본,성인물(에로),[],정보 없음,정보 없음
20223205,음욕의 신혼생활 무삭제판,,2021,20220117,장편,개봉,일본,"성인물(에로),멜로/로맨스",일본,성인물(에로),[{'peopleNm': '나기라 겐조'}],정보 없음,정보 없음
20212862,욕망의 스토킹 무삭제판,,2021,20220117,장편,개봉,일본,"성인물(에로),멜로/로맨스",일본,성인물(에로),[{'peopleNm': '나기라 겐조'}],정보 없음,정보 없음
20219271,여대생들 : 스폰을 찾아서 무삭제,,2021,20220118,장편,개봉,한국,"성인물(에로),드라마,멜로/로맨스",한국,성인물(에로),[{'peopleNm': '신승엽'}],정보 없음,정보 없음
20219525,유부녀들 : 스와핑의 맛 무삭제,,2021,20220119,장편,개봉,한국,"성인물(에로),드라마,멜로/로맨스",한국,성인물(에로),[{'peopleNm': '김환'}],정보 없음,정보 없음
20210203,밀애 2021 무삭제,,2021,20220120,장편,개봉,한국,"성인물(에로),드라마,멜로/로맨스",한국,성인물(에로),[{'peopleNm': '정지승'}],정보 없음,정보 없음
20223498,의붓딸의 끈질긴 유혹,,2020,20220125,장편,개봉,일본,"성인물(에로),드라마,멜로/로맨스",일본,성인물(에로),[{'peopleNm': '디렉터 O'}],정보 없음,정보 없음
20213033,82년생 임지영,,2021,20220130,장편,개봉,한국,"성인물(에로),멜로/로맨스",한국,성인물(에로),[{'peopleNm': '신승엽'}],정보 없음,정보 없음
20213018,예리의 첫경험,,2021,20220130,장편,개봉,한국,"성인물(에로),드라마,멜로/로맨스",한국,성인물(에로),[{'peopleNm': '신승엽'}],정보 없음,정보 없음
20212438,타부 : 잘못된 관계,,2021,20220212,장편,개봉,한국,"성인물(에로),멜로/로맨스",한국,성인물(에로),[{'peopleNm': '한대위'}],정보 없음,정보 없음
20212440,처제 : 언니한텐 비밀이야,,2021,20220220,장편,개봉,한국,"성인물(에로),드라마,멜로/로맨스",한국,성인물(에로),[{'peopleNm': '한대위'}],정보 없음,정보 없음
20211509,하숙집 2021 무삭제,,2021,20220425,장편,개봉,한국,"성인물(에로),드라마,멜로/로맨스",한국,성인물(에로),[{'peopleNm': '최찬호'}],정보 없음,정보 없음
20211980,촉촉한 형수 무삭제,,2021,20220509,장편,개봉,한국,"성인물(에로),드라마,멜로/로맨스",한국,성인물(에로),[{'peopleNm': '한대위'}],정보 없음,정보 없음
20212472,자지만 말구요 무삭제,,2021,20220515,장편,개봉,한국,"성인물(에로),드라마,멜로/로맨스",한국,성인물(에로),[{'peopleNm': '한대위'}],정보 없음,정보 없음
20212437,처제의 섹스과외 무삭제,,2021,20220516,장편,개봉,한국,"성인물(에로),드라마,멜로/로맨스",한국,성인물(에로),[{'peopleNm': '한대위'}],정보 없음,정보 없음
20212644,타부 : 잘못된 관계 무삭제,,2021,20220620,장편,개봉,한국,"성인물(에로),드라마,멜로/로맨스",한국,성인물(에로),[{'peopleNm': '한대위'}],정보 없음,정보 없음
20212645,처제 : 언니한텐 비밀이야 무삭제,,2021,20220705,장편,개봉,한국,"성인물(에로),드라마,멜로/로맨스",한국,성인물(에로),[{'peopleNm': '한대위'}],정보 없음,정보 없음
20226523,큰거 좋아하는 새엄마,,2022,20220804,장편,개봉,한국,"성인물(에로),드라마",한국,성인물(에로),[{'peopleNm': '이로운'}],정보 없음,정보 없음
