boxofficeType,showRange,yearWeekTime,rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
주중 박스오피스,20240318~20240321,202412,5,5,-1,OLD,20234789,패스트 라이브즈,2024-03-06,82153902,1.6,-86009567,-51.1,898227178,8637,-10151,-54.0,98211,291,1616
주중 박스오피스,20240318~20240321,202412,6,6,3,OLD,20247782,랜드 오브 배드,2024-03-13,68769726,1.3,-7117122,-9.4,289109448,8276,-1339,-13.9,34091,359,1744
주중 박스오피스,20240318~20240321,202412,7,7,-2,OLD,20236488,밥 말리: 원 러브,2024-03-13,67478134,1.3,-55188774,-45.0,317595683,7745,-6304,-44.9,35028,428,1830
주중 박스오피스,20240318~20240321,202412,8,8,-2,OLD,20236180,웡카,2024-01-31,66897608,1.3,-63051282,-48.5,33401731450,6998,-6532,-48.3,3473596,301,1321
주중 박스오피스,20240318~20240321,202412,9,9,0,NEW,20247962,나이트 스윔,2024-03-20,56594000,1.1,56594000,100.0,56594000,6884,6884,100.0,6884,189,582
주중 박스오피스,20240318~20240321,202412,10,10,-3,OLD,20247074,건국전쟁,2024-02-01,38129290,0.7,-58390960,-60.5,10831093479,4478,-6680,-59.9,1165103,169,659
주중 박스오피스,20240325~20240328,202413,1,1,0,OLD,20234675,파묘,2024-02-22,2974655391,42.4,181025220,6.5,101646519287,330266,37769,12.9,10539297,1691,19922
주중 박스오피스,20240325~20240328,202413,2,2,0,NEW,20231041,댓글부대,2024-03-27,1563958547,22.3,1563958547,100.0,1601929547,190502,190502,100.0,194541,1217,9504
주중 박스오피스,20240325~20240328,202413,3,3,29,OLD,20248496,고질라 X 콩: 뉴 엠파이어,2024-03-27,787962216,11.2,777354216,7328.0,798570216,85652,85028,13626.3,86276,995,6879
주중 박스오피스,20240325~20240328,202413,4,4,-2,OLD,20236295,듄: 파트2,2024-02-28,579418842,8.3,-339162394,-36.9,21163351874,48962,-24525,-33.4,1826122,773,4902
주중 박스오피스,20240325~20240328,202413,5,5,-2,OLD,20236714,극장판 스파이 패밀리 코드 : 화이트,2024-03-20,270673898,3.9,-235025877,-46.5,1977450084,29318,-22266,-43.2,198027,695,5010
주중 박스오피스,20240325~20240328,202413,6,6,23,OLD,20219375,1980,2024-03-27,91855963,1.3,84205963,1100.7,102819963,11209,10359,1218.7,12281,521,1667
주중 박스오피스,20240325~20240328,202413,7,7,0,NEW,20235838,악은 존재하지 않는다,2024-03-27,60503493,0.9,60503493,100.0,97259493,7399,7399,100.0,10011,130,360
주중 박스오피스,20240325~20240328,202413,8,8,0,NEW,20173226,패왕별희 디 오리지널,2017-03-30,52778669,0.8,52778669,100.0,1247906647,7346,7346,100.0,135011,103,291
주중 박스오피스,20240325~20240328,202413,9,9,-5,OLD,20236732,가여운 것들,2024-03-06,61499620,0.9,-51790686,-45.7,1415709528,6537,-4993,-43.3,141822,245,861
주중 박스오피스,20240325~20240328,202413,10,10,-5,OLD,20234789,패스트 라이브즈,2024-03-06,59056095,0.8,-23097807,-28.1,1051316653,6298,-2339,-27.1,113828,230,1034
주중 박스오피스,20240401~20240404,202414,1,1,0,OLD,20234675,파묘,2024-02-22,1523357239,30.5,-1451298152,-48.8,107316681447,161653,-168613,-51.1,11118944,1259,15712
주중 박스오피스,20240401~20240404,202414,2,2,0,OLD,20231041,댓글부대,2024-03-27,1140502466,22.8,-423456081,-27.1,6182764579,121166,-69336,-36.4,662213,1059,13476
주중 박스오피스,20240401~20240404,202414,3,3,0,OLD,20248496,고질라 X 콩: 뉴 엠파이어,2024-03-27,445180290,8.9,-342781926,-43.5,3667141804,44770,-40882,-47.7,365898,813,7801
주중 박스오피스,20240401~20240404,202414,4,4,15,OLD,20247780,비키퍼,2024-04-03,272028107,5.4,255024107,1499.8,289032107,30374,28730,1747.6,32018,688,3023
주중 박스오피스,20240401~20240404,202414,5,5,49,OLD,20247673,오멘: 저주의 시작,2024-04-03,243493892,4.9,241270892,10853.4,245716892,25006,24759,10023.9,25253,632,2658
주중 박스오피스,20240401~20240404,202414,6,6,-2,OLD,20236295,듄: 파트2,2024-02-28,322822781,6.5,-256596061,-44.3,22263955243,24182,-24780,-50.6,1910205,456,2134
주중 박스오피스,20240401~20240404,202414,7,7,11,OLD,20201502,유미의 세포들 더 무비,2024-04-03,119839660,2.4,105685660,746.7,139916660,17907,15885,785.6,20642,402,2338
주중 박스오피스,20240401~20240404,202414,8,8,0,NEW,20231677,남은 인생 10년,2023-05-24,143327730,2.9,143327730,100.0,1612246330,14797,14797,100.0,152429,298,792
주중 박스오피스,20240401~20240404,202414,9,9,0,NEW,20248222,기동전사 건담 시드 프리덤,2024-04-03,115163741,2.3,115163741,100.0,241294201,11614,11614,100.0,21532,418,1272
주중 박스오피스,20240401~20240404,202414,10,10,0,NEW,20236230,씬,2024-04-03,84303698,1.7,84303698,100.0,86591698,9678,9678,100.0,9886,386,1169
